Time,Value
0.0,0.0
1.0,1.1499882866492517
2.0,1.8325901375982234
3.0,2.2708253726444414
4.0,2.6799942403562884
5.0,2.977409076310683
6.0,3.2602197225114193
7.0,3.461261585922704
8.0,3.703815551315371
9.0,3.9144806817062507
10.0,3.971482459399756
11.0,4.141805651777921
12.0,4.1770674092310465
13.0,4.325578564873996
14.0,4.380485050608923
15.0,4.586307653644833
16.0,4.665266339669342
17.0,4.689742816908358
18.0,4.792999353241147
19.0,4.840029877830496
20.0,4.864058951991975
21.0,4.876295939502974
22.0,4.762755431780827
23.0,4.8942157875014765
24.0,4.989928798838627
25.0,4.9044620074799745
26.0,5.11560035636867
27.0,5.02052907082592
28.0,5.042985424442298
29.0,5.083582720574117
30.0,5.131928774779799
31.0,5.147947023984578
32.0,5.179589479773876
33.0,5.164774363044753
34.0,5.277944398731499
35.0,5.256608117914233
36.0,5.184192334663353
37.0,5.233423827285995
38.0,5.294607289928193
39.0,5.272016248652693
40.0,5.471037768380801
41.0,5.475162855743008
42.0,5.471474783249783
43.0,5.461089344509526
44.0,5.399043325357538
45.0,5.4531792266339085
46.0,5.5972460692569115
47.0,5.653395281223554
48.0,5.621425324474331
49.0,5.6168317617095775
50.0,5.606568555364056
51.0,5.535157326838403
52.0,5.647340245855525
53.0,5.702936101799804
54.0,5.623124080802963
55.0,5.650669692227308
56.0,5.777939228896124
57.0,5.638504445687546
58.0,5.888085004641195
59.0,5.946510187239327
60.0,5.95237249324445
61.0,5.950118348619009
62.0,5.971165828955282
63.0,5.932814604401457
64.0,6.086837990242521
65.0,6.092546445577001
66.0,6.08170141331375
67.0,6.063528309876508
68.0,6.058491748518078
69.0,5.90168779573147
70.0,5.906700126130885
71.0,6.0463856010612105
72.0,6.160085967106444
73.0,6.2118616548266266
74.0,6.221329749172519
75.0,6.157485225619993
76.0,6.286640894728396
77.0,6.39211082410602
78.0,6.334806988546766
79.0,6.38192273602033
80.0,6.339320392916056
81.0,6.343963470979514
82.0,6.427226509011674
83.0,6.32994077319756
84.0,6.325309756806264
85.0,6.342682218980703
86.0,6.350640265222362
87.0,6.324714189755122
88.0,6.452546192064203
89.0,6.584893149636949
90.0,6.598710744599388
91.0,6.696403906131922
92.0,6.6958825066583305
93.0,6.641322477875458
94.0,6.638727598878792
95.0,6.674653858923415
96.0,6.601471227500468
97.0,6.4880507676804315
98.0,6.408361733298631
99.0,6.493867054807049
100.0,6.55892724053635
101.0,6.542666801564618
102.0,6.627836968521207
103.0,6.659706853109175
104.0,6.621982372996406
105.0,6.738487080079034
106.0,6.777089339075369
107.0,6.709356324371132
108.0,6.820512800945772
109.0,6.891758554912847
110.0,6.749922068648999
111.0,6.642378635780726
112.0,6.682450449489596
113.0,6.710803797489602
114.0,6.722367099239141
115.0,6.818307601098953
116.0,6.864778751437565
117.0,6.895814706354056
118.0,6.848427379106537
119.0,6.812781916719638
120.0,6.859529864386602
121.0,7.00342734914537
122.0,7.193222336998296
123.0,7.183119269830475
124.0,7.063533312639545
125.0,7.153264456977556
126.0,7.151407408121792
127.0,7.142829728528038
128.0,7.207104411444335
129.0,7.240235943182162
130.0,7.36740118074045
131.0,7.3128198541334335
132.0,7.17524465376525
133.0,7.210993123354607
134.0,7.131180524754059
135.0,7.212108795158315
136.0,7.30841532545601
137.0,7.3810820685739795
138.0,7.199644364413457
139.0,7.336605723996301
140.0,7.315500615907542
141.0,7.343804805003557
142.0,7.326095576466513
143.0,7.367988132945315
144.0,7.3941227711176865
145.0,7.344675836936244
146.0,7.36322287390682
147.0,7.317717252090397
148.0,7.223824015614916
149.0,7.360921476566351
150.0,7.403368645274593
151.0,7.40729200249418
152.0,7.457681287223831
153.0,7.485420606754475
154.0,7.535388024933689
155.0,7.535887330676585
156.0,7.5763861794600516
157.0,7.555230921340783
158.0,7.588573747532383
159.0,7.532539431487826
160.0,7.786716711466898
161.0,7.719758926193666
162.0,7.782707295313003
163.0,7.744580780782785
164.0,7.792317081796926
165.0,7.831734721563004
166.0,7.802239179663855
167.0,7.8580577780267316
168.0,7.835084912219262
169.0,7.700673755971499
170.0,7.757530080352234
171.0,7.764391062108039
172.0,7.886643712831137
173.0,7.917416688493465
174.0,7.985126077847995
175.0,7.998511074125875
176.0,7.976876950445547
177.0,8.03465455113738
178.0,8.075314408581889
179.0,8.041844315054368
180.0,8.12727081265688
181.0,8.08122606468722
182.0,8.096122851668513
183.0,8.131297218657878
184.0,8.140795922344362
185.0,8.085186026788225
186.0,8.104101615512755
187.0,8.109630242070454
188.0,8.078413356269278
189.0,8.189451060569906
190.0,8.171713643387145
191.0,8.089360019718518
192.0,8.091850473789828
193.0,8.130370261858522
194.0,8.19952209997957
195.0,8.27535079146025
196.0,8.233553701472236
197.0,8.182603454197789
