CO2_FFI_emissions,CO2_AFOLU_emissions,CO2_emissions,CH4_emissions,N2O_emissions,CO2_FFI_concentration,CO2_AFOLU_concentration,CO2_concentration,CH4_concentration,N2O_concentration,CO2_FFI_forcing,CO2_AFOLU_forcing,CO2_forcing,CH4_forcing,N2O_forcing,atmospheric_temp,sea_layer1_temp,sea_layer2_temp,sea_layer3_temp,CO2_FFI_airborne_emissions,CO2_AFOLU_airborne_emissions,CO2_airborne_emissions,CH4_airborne_emissions,N2O_airborne_emissions,year
0.0095056198912428,0.297464606513689,0.306970226404932,19.0197831178096,0.0860223075384803,0,0,278.3,729.2,270.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1750
0.0095059632291389,0.302937098519477,0.312443061748616,18.9151088699315,0.0876474636238348,0,0,278.332338278851,729.199999999264,270.1,0,0,0.000636272088984,-4.77241293359021e-13,4.05350720853598e-08,0.0006363126235788,7.18146646061147e-05,1.5723841351409e-05,1.90456228534498e-07,0,0,0.252270965560829,-2.0925549558423602e-09,-1.51276500988065e-12,1751
0.009510002042484,0.308510268616364,0.318020270658848,18.8897118118868,0.0893033225858889,0,0,278.358962924342,729.164836482074,270.100207355035,0,0,0.0011600744872096,-2.28063985528357e-05,8.21327229687599e-07,0.0011380894158865,0.0001449389971113,5.25488787997691e-05,1.12444111802325e-06,0,0,0.459969868045764,-0.0999969533660474,0.0016177239833745,1752
0.00951034538038,0.314185968991254,0.323696314371634,19.1213772311719,0.0909904644714738,0,0,278.383653839841,729.124236288715,270.100624088869,0,0,0.0016457922589827,-4.91396626298977e-05,2.37099260457126e-06,0.0015990235889574,0.0002210959854321,0.0001073587308508,3.14123194828294e-06,0,0,0.652583739740834,-0.215454560611078,0.0048689607779958,1753
0.0095143841937251,0.319966085905957,0.329480470099682,19.5090610650158,0.0927094802858183,0,0,278.407256513532,729.165033668501,270.101252280788,0,0,0.0021100651406068,-2.26783637444917e-05,4.74615983252213e-06,0.0020921329366948,0.0003077460640253,0.0001794348517247,6.41724935688685e-06,0,0,0.836708235329873,-0.0994362005442033,0.0097699323643518,1754
0.0095184230070702,0.325852540324066,0.335370963331136,19.5004549333117,0.0944609721995776,0,0,278.43009076329,729.332475779418,270.102094066484,0,0,0.0025591883540073,8.59161508920605e-05,7.98003149397875e-06,0.0026530845363933,0.0004097762911302,0.0002700559391064,1.10875553676867e-05,0,0,1.0148382545858,0.376730632143737,0.0163373007973051,1755
0.010169170023994,0.33184728854937,0.342016458573364,19.4625365998159,0.0962455537597732,0,0,278.452355562898,729.482289107818,270.103151638962,0,0,0.0029970784700112,0.0001830657255402,1.20013821355916e-05,0.003192145577687,0.0005182425986869,0.0003788297465533,1.72682230900362e-05,0,0,1.1885259922904,0.802765263982866,0.0245881752604252,1756
0.0101732088373391,0.337952322876018,0.348125531713357,20.0235406641442,0.0980638501047189,0,0,278.47427124878,729.606178672403,270.104427249459,0,0,0.0034280709295516,0.0002633960935186,1.68142324879685e-05,0.0037082812555582,0.0006315239078174,0.0005040735193157,2.5000531351435e-05,0,0,1.3594902932586,1.15507867695102,0.0345401192660177,1757
0.0101772476506841,0.344169672250627,0.354346919901311,19.9340053291859,0.0999164981830059,0,0,278.495879209077,729.907624252783,270.105923208391,0,0,0.0038529810729795,0.0004588222267343,2.25391834066148e-05,0.0043343424831204,0.0007637751675569,0.0006473279078163,3.43015585286584e-05,0,0,1.52805402644932,2.01232054072999,0.0462111580019212,1758
0.0101812864640292,0.350501402946593,0.360682689410622,20.1414662138841,0.101804146976626,0,0,278.517288065326,730.152462227408,270.10764188631,0,0,0.0042739459613583,0.0006175166149097,2.90561203095657e-05,0.0049205186965776,0.0009007837496247,0.0008083074244494,4.52239919718362e-05,0,0,1.6950645486313,2.70858339993951,0.0596197858277028,1759
0.0101816298019253,0.356949619250787,0.367131249052713,20.4167971445005,0.10372745772831,0,0,278.538582129719,730.445446546116,270.109585714884,0,0,0.0046926240928994,0.0008073783821624,3.64317472011742e-05,0.005536434222263,0.0010481350869548,0.0009864136323573,5.77732442372569e-05,0,0,1.86117957935672,3.54176338257716,0.0747849739229349,1760
0.0111465115919923,0.363516464162903,0.374662975754895,20.4559901689881,0.105687104173159,0,0,278.559829824335,730.8051414346,270.111757187901,0,0,0.005110361100649,0.0010404120500156,4.46854680253225e-05,0.0061954586186899,0.0012079863795608,0.0011822551021545,7.19579864755363e-05,0,0,2.02693287937936,4.56465287462815,0.0917261780902845,1761
0.0111505697653139,0.370204120107651,0.381354689872965,20.4516873819768,0.107683772774657,0,0,278.581189777839,731.146351628554,270.114158862285,0,0,0.0055302755479892,0.0012614107515323,5.3780044642562e-05,0.006845466344164,0.0013749917411876,0.0013953932682475,8.77918106270713e-05,0,0,2.1935619111744,5.53497614902108,0.110463346716198,1762
0.0111546279386354,0.377014809660075,0.388169437598711,20.545179336814,0.109718162965136,0,0,278.602588395506,731.456093714527,270.11679335914,0,0,0.0059509203230023,0.0014619778013331,6.37179352855049e-05,0.0074766160596209,0.0015470713021433,0.0016244191678654,0.0001052526394056,0,0,2.36049256216539,6.41581136556657,0.131016928892022,1763
0.011158686111957,0.383950796284196,0.395109482396153,20.2609172101632,0.111790987390788,0,0,278.6240775285,731.769990692501,270.11966336481,0,0,0.006373314426514,0.0016651866855939,7.45286477725569e-05,0.0081130297598804,0.0017261353999937,0.0018683716874287,0.0001242874627259,0,0,2.52812932336312,7.30846213886348,0.153407882698439,1764
