CO2_FFI_emissions,CO2_AFOLU_emissions,CO2_emissions,CH4_emissions,N2O_emissions,CO2_FFI_concentration,CO2_AFOLU_concentration,CO2_concentration,CH4_concentration,N2O_concentration,CO2_FFI_forcing,CO2_AFOLU_forcing,CO2_forcing,CH4_forcing,N2O_forcing,atmospheric_temp,sea_layer1_temp,sea_layer2_temp,sea_layer3_temp,CO2_FFI_airborne_emissions,CO2_AFOLU_airborne_emissions,CO2_airborne_emissions,CH4_airborne_emissions,N2O_airborne_emissions,year,run
0.0095056198912428,0.297464606513689,0.306970226404932,19.0197831178096,0.0860223075384803,0,0,278.3,729.2,270.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1750,1
0.0095059632291389,0.302937098519477,0.312443061748616,18.9151088699315,0.0876474636238348,0,0,278.332338278851,729.199999999264,270.1,0,0,0.000636272088984,-4.77241293359021e-13,4.05350720853598e-08,0.0006363126235788,7.59289651644244e-05,1.58623398309324e-05,1.52839816486076e-07,0,0,0.252270965560829,-2.0925549558423602e-09,-1.51276500988065e-12,1751,1
0.009510002042484,0.308510268616364,0.318020270658848,18.8897118118868,0.0893033225858889,0,0,278.358962935556,729.164836482313,270.100207355035,0,0,0.0011600747078112,-2.2806398397903e-05,8.21327243874168e-07,0.0011380896366572,0.0001511992599176,5.24935674462866e-05,8.97520440171007e-07,0,0,0.459969955522535,-0.099996952687387,0.0016177239833745,1752,1
0.00951034538038,0.314185968991254,0.323696314371634,19.1213772311719,0.0909904644714738,0,0,278.383653865911,729.124236290056,270.100624088869,0,0,0.0016457927718099,-4.91396617597825e-05,2.3709926379803e-06,0.0015990241026881,0.0002285627745444,0.000106681202479,2.50415720936794e-06,0,0,0.652583943113288,-0.215454556796074,0.0048689607779958,1753,1
0.0095143841937251,0.319966085905957,0.329480470099682,19.5090610650158,0.0927094802858183,0,0,278.407256556353,729.165033671033,270.101252280788,0,0,0.0021100659828886,-2.26783621024541e-05,4.74615988756664e-06,0.0020921337806736,0.000316053050895,0.0001777265899155,5.11745817713331e-06,0,0,0.836708569380389,-0.0994361933445463,0.0097699323643518,1754,1
0.0095184230070702,0.325852540324066,0.335370963331136,19.5004549333117,0.0944609721995776,0,0,278.43009082469,729.332475780362,270.102094066484,0,0,0.002559189561619,8.59161515043159e-05,7.98003157140292e-06,0.0026530857446947,0.0004187290478159,0.0002668992203855,8.8503946001259e-06,0,0,1.01483873356351,0.376730634828725,0.0163373007973051,1755,1
0.010169170023994,0.33184728854937,0.342016458573364,19.4625365998159,0.0962455537597732,0,0,278.452355644577,729.48228910267,270.103151638962,0,0,0.0029970800763795,0.0001830657222023,1.20013822350277e-05,0.0031921471808168,0.00052697070771,0.0003737413334055,1.38000795635975e-05,0,0,1.18852662947394,0.802765249344043,0.0245881752604252,1756,1
0.0101732088373391,0.337952322876018,0.348125531713357,20.0235406641442,0.0980638501047189,0,0,278.47427134791,729.606178658038,270.104427249459,0,0,0.0034280728789743,0.0002633960842049,1.68142326041325e-05,0.0037082831957834,0.000639229178138,0.0004965564349677,2.00034267865065e-05,0,0,1.3594910665745,1.15507863610133,0.0345401192660177,1757,1
0.0101772476506841,0.344169672250627,0.354346919901311,19.9340053291859,0.0999164981830059,0,0,278.495879320033,729.907624225834,270.105923208391,0,0,0.003852983254796,0.0004588222092652,2.25391835305955e-05,0.0043343446475917,0.0007705785543597,0.0006369247419603,2.74778108865446e-05,0,0,1.52805489201577,2.0123204640923,0.0462111580019212,1758,1
0.0101812864640292,0.350501402946593,0.360682689410622,20.1414662138841,0.101804146976626,0,0,278.517288184516,730.152462184674,270.10764188631,0,0,0.0042739483049251,0.0006175165872136,2.90561204350989e-05,0.0049205210125737,0.0009056607311087,0.0007944831887692,3.62675274381457e-05,0,0,1.6950654784318,2.70858327841337,0.0596197858277028,1759,1
0.0101816298019253,0.356949619250787,0.367131249052713,20.4167971445005,0.10372745772831,0,0,278.538582247524,730.445446489918,270.109585714884,0,0,0.0046926264090803,0.000807378345749,3.64317473175117e-05,0.0055364365021467,0.0010506317013652,0.0009686410109681,4.63784709703131e-05,0,0,1.86118049835722,3.54176322276363,0.0747849739229349,1760,1
0.0111465115919923,0.363516464162903,0.374662975754895,20.4559901689881,0.105687104173159,0,0,278.559829930346,730.805141371914,270.111757187901,0,0,0.0051103631847948,0.0010404120094094,4.46854681232997e-05,0.0061954606623275,0.0012077043738383,0.0011600028399439,5.78188289384315e-05,0,0,2.02693370637206,4.56465269636464,0.0917261780902845,1761,1
0.0111505697653139,0.370204120107651,0.381354689872965,20.4516873819768,0.107683772774657,0,0,278.581189860642,731.146351572991,270.114158862285,0,0,0.0055302771757601,0.0012614107155497,5.37800447154256e-05,0.0068454679360252,0.0013711501824221,0.0013680949732684,7.05999412389977e-05,0,0,2.19356255712201,5.53497599101385,0.110463346716198,1762,1
0.0111546279386354,0.377014809660075,0.388169437598711,20.545179336814,0.109718162965136,0,0,278.602588439706,731.456093689745,270.11679335914,0,0,0.005950921191826,0.0014619777852876,6.37179353270446e-05,0.0074766169124406,0.0015388792246862,0.001591501867762,8.47043606924402e-05,0,0,2.36049290696468,6.41581129509084,0.131016928892022,1763,1
0.011158686111957,0.383950796284196,0.395109482396153,20.2609172101632,0.111790987390788,0,0,278.62407751579,731.769990733287,270.11966336481,0,0,0.0063733141766856,0.0016651867119947,7.45286477790569e-05,0.0081130295364594,0.0017130153061372,0.0018292814538873,0.0001000899163318,0,0,2.52812922420989,7.30846225485033,0.153407882698439,1764,1
