CO2_FFI_emissions,CO2_AFOLU_emissions,CO2_emissions,CH4_emissions,N2O_emissions,CO2_FFI_concentration,CO2_AFOLU_concentration,CO2_concentration,CH4_concentration,N2O_concentration,CO2_FFI_forcing,CO2_AFOLU_forcing,CO2_forcing,CH4_forcing,N2O_forcing,atmospheric_temp,sea_layer1_temp,sea_layer2_temp,sea_layer3_temp,CO2_FFI_airborne_emissions,CO2_AFOLU_airborne_emissions,CO2_airborne_emissions,CH4_airborne_emissions,N2O_airborne_emissions,year
0.0095056198912428,0.297464606513689,0.306970226404932,19.0197831178096,0.0860223075384803,0,0,278.3,729.2,270.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1750
0.0095059632291389,0.302937098519477,0.312443061748616,18.9151088699315,0.0876474636238348,0,0,278.332338278851,729.199999999264,270.1,0,0,0.000636272088984,-4.77241293359021e-13,4.05350720853598e-08,0.0006363126235785,9.47249139844035e-05,2.63796973413889e-05,1.09254909646284e-07,0,0,0.252270965560829,-2.0925549558423602e-09,-1.51276500988065e-12,1751
0.009510002042484,0.308510268616364,0.318020270658848,18.8897118118868,0.0893033225858889,0,0,278.358962987085,729.164836483403,270.100207355035,0,0,0.0011600757215322,-2.28063976908121e-05,8.21327309056402e-07,0.0011380906511502,0.0001998568586527,8.08578885098186e-05,5.70171559485483e-07,0,0,0.45997035750294,-0.0999969495869642,0.0016177239833745,1752
0.00951034538038,0.314185968991254,0.323696314371634,19.1213772311719,0.0909904644714738,0,0,278.383654053914,729.124236299786,270.100624088869,0,0,0.001645796470038,-4.91396554490838e-05,2.37099287893512e-06,0.0015990278074676,0.000314885953751,0.0001545625248771,1.44533674826881e-06,0,0,0.652585409723867,-0.215454529127156,0.0048689607779958,1753
0.0095143841937251,0.319966085905957,0.329480470099682,19.5090610650158,0.0927094802858183,0,0,278.407256990793,729.165033695031,270.101252280788,0,0,0.0021100745281487,-2.26783465373779e-05,4.74616044508595e-06,0.0020921423420562,0.0004462061283996,0.0002444362132231,2.71770035791958e-06,0,0,0.836711958448428,-0.0994361250990703,0.0097699323643518,1754
0.0095184230070702,0.325852540324066,0.335370963331136,19.5004549333117,0.0944609721995776,0,0,278.430091639907,729.332475780865,270.102094066484,0,0,0.0025592055953999,8.59161518308527e-05,7.98003259275086e-06,0.0026531017798232,0.0005987365394045,0.0003509088506202,4.36897137557653e-06,0,0,1.01484509307338,0.376730636260536,0.0163373007973051,1755
0.010169170023994,0.33184728854937,0.342016458573364,19.4625365998159,0.0962455537597732,0,0,278.452356999265,729.482288982315,270.103151638962,0,0,0.0029971067185635,0.00018306564416,1.20013838649305e-05,0.0031921737465882,0.0007602168164126,0.0004713563221721,6.3824758881728e-06,0,0,1.18853719739253,0.8027649070812,0.0245881752604252,1756
0.0101732088373391,0.337952322876018,0.348125531713357,20.0235406641442,0.0980638501047189,0,0,278.474273410578,729.606178289858,270.104427249459,0,0,0.0034281134418366,0.0002633958454875,1.68142349830664e-05,0.003708323522307,0.0009269473529841,0.000601914365762,8.71387368501145e-06,0,0,1.35950715744911,1.1550775890809,0.0345401192660177,1757
0.0101772476506841,0.344169672250627,0.354346919901311,19.9340053291859,0.0999164981830059,0,0,278.495882257249,729.907623372929,270.105923208391,0,0,0.0038530410117468,0.0004588216563946,2.25391867358562e-05,0.004334401854877,0.0011160974605475,0.0007448403755797,1.13275306670219e-05,0,0,1.52807780524348,2.01231803862878,0.0462111580019212,1758
0.0101812864640292,0.350501402946593,0.360682689410622,20.1414662138841,0.101804146976626,0,0,278.517292175688,730.152460484723,270.10764188631,0,0,0.0042740267811538,0.0006175154854763,2.90561244908234e-05,0.0049205983911207,0.0013096093549056,0.0008982957776171,1.421525559663e-05,0,0,1.69509661357337,2.70857844414366,0.0596197858277028,1759
0.0101816298019253,0.356949619250787,0.367131249052713,20.4167971445005,0.10372745772831,0,0,278.538587465396,730.445443512914,270.109585714884,0,0,0.0046927289980161,0.0008073764167882,3.64317522022449e-05,0.0055365371670063,0.0015136383350439,0.0010609203122209,1.73482258321596e-05,0,0,1.86122120298193,3.54175475685062,0.0747849739229349,1760
0.0111465115919923,0.363516464162903,0.374662975754895,20.4559901689881,0.105687104173159,0,0,278.559836545196,730.805136536571,270.111757187901,0,0,0.0051104932307035,0.001040408877194,4.46854737295235e-05,0.0061955875816268,0.0017306187068006,0.0012333626359605,2.07099305656398e-05,0,0,2.02698530882875,4.5646389457632,0.0917261780902845,1761
0.0111505697653139,0.370204120107651,0.381354689872965,20.4516873819768,0.107683772774657,0,0,278.581198045245,731.146344182507,270.114158862285,0,0,0.0055304380711738,0.0012614059294282,5.37800508755015e-05,0.0068456240514771,0.0019535504440134,0.0014142997660069,2.42897087764385e-05,0,0,2.19362640521949,5.53495497417862,0.110463346716198,1762
0.0111546279386354,0.377014809660075,0.388169437598711,20.545179336814,0.109718162965136,0,0,278.602598357682,731.456083024179,270.11679335914,0,0,0.0059511161486699,0.0014619708798419,6.37179418495944e-05,0.0074768049703611,0.0021790330791283,0.0016012625069427,2.80612977902712e-05,0,0,2.36057027711565,6.41578096467683,0.131016928892022,1763
0.011158686111957,0.383950796284196,0.395109482396153,20.2609172101632,0.111790987390788,0,0,278.62408931667,731.769976052649,270.11966336481,0,0,0.0063735461291703,0.0016651772092648,7.45286544447873e-05,0.0081132519928796,0.002408803250471,0.0017930030081942,3.19913904366688e-05,0,0,2.52822128289761,7.30842050649352,0.153407882698439,1764
