CO2_FFI_emissions,CO2_AFOLU_emissions,CO2_emissions,CH4_emissions,N2O_emissions,CO2_FFI_concentration,CO2_AFOLU_concentration,CO2_concentration,CH4_concentration,N2O_concentration,CO2_FFI_forcing,CO2_AFOLU_forcing,CO2_forcing,CH4_forcing,N2O_forcing,atmospheric_temp,sea_layer1_temp,sea_layer2_temp,sea_layer3_temp,CO2_FFI_airborne_emissions,CO2_AFOLU_airborne_emissions,CO2_airborne_emissions,CH4_airborne_emissions,N2O_airborne_emissions,year,run
0.0095056198912428,0.297464606513689,0.306970226404932,19.0197831178096,0.0860223075384803,0,0,278.3,729.2,270.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1750,1
0.0095059632291389,0.302937098519477,0.312443061748616,18.9151088699315,0.0876474636238348,0,0,278.332338278851,729.199999999264,270.1,0,0,0.000636272088984,-4.77241293359021e-13,4.05350720853598e-08,0.0006363126235788,8.41467876780181e-05,2.15933612704882e-05,1.47967079052374e-07,0,0,0.252270965560829,-2.0925549558423602e-09,-1.51276500988065e-12,1751,1
0.009510002042484,0.308510268616364,0.318020270658848,18.8897118118868,0.0893033225858889,0,0,278.35896295817,729.16483648279,270.100207355035,0,0,0.0011600751526948,-2.28063980887842e-05,8.21327272478023e-07,0.0011380900818784,0.0001769673811366,6.72292321467377e-05,7.96400170762708e-07,0,0,0.45997013193653,-0.0999969513318438,0.0016177239833745,1752,1
0.00951034538038,0.314185968991254,0.323696314371634,19.1213772311719,0.0909904644714738,0,0,278.383653963521,729.124236295117,270.100624088869,0,0,0.001645794691903,-4.91396584773134e-05,2.37099276308682e-06,0.0015990260261887,0.000275918292823,0.0001286020512425,2.0452225503066e-06,0,0,0.652584704566915,-0.21545454240433,0.0048689607779958,1753,1
0.0095143841937251,0.319966085905957,0.329480470099682,19.5090610650158,0.0927094802858183,0,0,278.407256791606,729.165033683945,270.101252280788,0,0,0.0021100706102198,-2.26783537273761e-05,4.74616018942241e-06,0.0020921384166818,0.0003868606218144,0.0002024390780118,3.8648815614094e-06,0,0,0.836710404589749,-0.0994361566238939,0.0097699323643518,1754,1
0.0095184230070702,0.325852540324066,0.335370963331136,19.5004549333117,0.0944609721995776,0,0,278.430091266943,729.332475780505,270.102094066484,0,0,0.0025591982599108,8.59161515972746e-05,7.98003212541289e-06,0.0026530944436334,0.0005143985617024,0.0002888203051637,6.21839785220519e-06,0,0,1.01484218358363,0.376730635236415,0.0163373007973051,1755,1
0.010169170023994,0.33184728854937,0.342016458573364,19.4625365998159,0.0962455537597732,0,0,278.452356369717,729.482289038591,270.103151638962,0,0,0.0029970943374639,0.0001830656806513,1.20013831076751e-05,0.0031921614012229,0.0006476502630819,0.0003855342616422,9.07355231722659e-06,0,0,1.18853228629181,0.802765067117907,0.0245881752604252,1756,1
0.0101732088373391,0.337952322876018,0.348125531713357,20.0235406641442,0.0980638501047189,0,0,278.474272431211,729.606178465896,270.104427249459,0,0,0.0034280941823567,0.0002633959596255,1.6814233854209e-05,0.0037083043758364,0.0007832859059713,0.0004892186164717,1.23606016634845e-05,0,0,1.3594995174094,1.15507808969284,0.0345401192660177,1757,1
0.0101772476506841,0.344169672250627,0.354346919901311,19.9340053291859,0.0999164981830059,0,0,278.495880826345,729.907623791683,270.105923208391,0,0,0.0038530128746744,0.0004588219278398,2.25391851761594e-05,0.0043343739876903,0.0009368166754238,0.0006016215672928,1.60207834552483e-05,0,0,1.52806664275739,2.0123192294689,0.0462111580019212,1758,1
0.0101812864640292,0.350501402946593,0.360682689410622,20.1414662138841,0.101804146976626,0,0,278.517290172947,730.152461345082,270.10764188631,0,0,0.0042739874023511,0.0006175160430751,2.90561224597259e-05,0.0049205595678859,0.0010923982507428,0.0007214722465468,2.00387338867613e-05,0,0,1.69508099018476,2.70858089080917,0.0596197858277028,1759,1
0.0101816298019253,0.356949619250787,0.367131249052713,20.4167971445005,0.10372745772831,0,0,278.538584767948,730.445445064701,270.109585714884,0,0,0.0046926759633168,0.0008073774222743,3.64317496840474e-05,0.0055364851352751,0.0012553723472065,0.0008475523258157,2.43719875131862e-05,0,0,1.86120016019098,3.54175916977525,0.0747849739229349,1760,1
0.0111465115919923,0.363516464162903,0.374662975754895,20.4559901689881,0.105687104173159,0,0,278.559833019496,730.80513913452,270.111757187901,0,0,0.0051104239165378,0.0010404105600806,4.46854707528005e-05,0.0061955199473712,0.0014281533341079,0.0009804585335429,2.89950465709817e-05,0,0,2.02695780484029,4.56464633372951,0.0917261780902845,1761,1
0.0111505697653139,0.370204120107651,0.381354689872965,20.4516873819768,0.107683772774657,0,0,278.581193546271,731.146348275914,270.114158862285,0,0,0.0055303496289749,0.0012614085803427,5.37800475063684e-05,0.006845538256824,0.001604587157066,0.0011192179335508,3.38929686168074e-05,0,0,2.19359130871753,5.53496661488464,0.110463346716198,1762,1
0.0111546279386354,0.377014809660075,0.388169437598711,20.545179336814,0.109718162965136,0,0,278.602592736452,731.456089109418,270.11679335914,0,0,0.0059510056526108,0.0014619748197447,6.37179381748898e-05,0.0074766984105303,0.0017816809353321,0.001261796995303,3.90295221787161e-05,0,0,2.36052642588849,6.41579826969773,0.131016928892022,1763,1
0.011158686111957,0.383950796284196,0.395109482396153,20.2609172101632,0.111790987390788,0,0,278.624082420748,731.769984677176,270.11966336481,0,0,0.006373410586223,0.0016651827918934,7.45286505747077e-05,0.0081131220286911,0.0019611748904328,0.0014071762808779,4.43575476018398e-05,0,0,2.52816748780249,7.30844503266362,0.153407882698439,1764,1
